Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,408,Dem. People's Rep. of Korea,PRK,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,7050,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,410,Rep. of Korea,KOR,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,20000,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,484,Mexico,MEX,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,90000,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,490,"Other Asia, nes",,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,1313518,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,528,Netherlands,NLD,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,486823,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,579,Norway,NOR,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,88243,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,600,Paraguay,PRY,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,82007,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,620,Portugal,PRT,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,2284287,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,702,Singapore,SGP,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,90624,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,704,Viet Nam,VNM,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,543000,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,711,So. African Customs Union,ZAF,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,6370,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,724,Spain,ESP,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,4484536,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,752,Sweden,SWE,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,55339,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,757,Switzerland,CHE,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,14031,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,780,Trinidad and Tobago,TTO,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,353221,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,788,Tunisia,TUN,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,29151,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,826,United Kingdom,GBR,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,65470,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,842,USA,USA,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,65588024,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,858,Uruguay,URY,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,98753,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,862,Venezuela,VEN,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,2174,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,899,"Areas, nes",,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,1913,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,0,World,WLD,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,19393786,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,24,Angola,AGO,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,479548,,,0
