,Unnamed: 0,Country,Country Code,Year,PIB_(1000_US$),contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,dist,distcap,distw,distwces,Commodity Code,Simple Average,Weighted Average,Imports Value in 1000 USD,Exp
155,155,Japan,JPN,1996,4833712542.2071,0,0,0,0,0,0,0,0,18549.61,17693.2,17981.98,17931.71,12,5.6,0.16,128465.80300000001,BRA
156,156,Japan,JPN,1996,4833712542.2071,0,0,0,0,0,0,0,0,18549.61,17693.2,17981.98,17931.71,13,2.36,5.91,1814.9479999999999,BRA
157,157,Japan,JPN,1996,4833712542.2071,0,0,0,0,0,0,0,0,18549.61,17693.2,17981.98,17931.71,14,1.86,1.86,2.39,BRA
158,158,Japan,JPN,1996,4833712542.2071,0,0,0,0,0,0,0,0,18549.61,17693.2,17981.98,17931.71,15,0.65,0.16,17818.165,BRA
159,159,"Korea, Rep.",KOR,1996,598099073.9014231,0,0,0,0,0,0,0,0,18364.51,17565.08,17793.04,17741.18,1,8.0,8.0,8.76,BRA
160,160,"Korea, Rep.",KOR,1996,598099073.9014231,0,0,0,0,0,0,0,0,18364.51,17565.08,17793.04,17741.18,4,29.4,29.4,0.39899999999999997,BRA
161,161,"Korea, Rep.",KOR,1996,598099073.9014231,0,0,0,0,0,0,0,0,18364.51,17565.08,17793.04,17741.18,5,8.0,8.0,9804.25,BRA
162,162,"Korea, Rep.",KOR,1996,598099073.9014231,0,0,0,0,0,0,0,0,18364.51,17565.08,17793.04,17741.18,6,25.0,25.0,18.985,BRA
163,163,"Korea, Rep.",KOR,1996,598099073.9014231,0,0,0,0,0,0,0,0,18364.51,17565.08,17793.04,17741.18,7,8.0,8.0,1.18,BRA
164,164,"Korea, Rep.",KOR,1996,598099073.9014231,0,0,0,0,0,0,0,0,18364.51,17565.08,17793.04,17741.18,9,6.33,3.0,15376.351999999999,BRA
165,165,"Korea, Rep.",KOR,1996,598099073.9014231,0,0,0,0,0,0,0,0,18364.51,17565.08,17793.04,17741.18,10,263.88,249.77,1445.105,BRA
